Nations,Nation Check,Overlord,Eco Vassals,Eco Over.,Compare,MP Vassals,MP Over.,Compare,20% Total,Vassal Type,,L. Desire,Base,Comparison,Individual,Friend/Rival,Taxes,,Indep War?,Autonomy,Threshold,Chaotic?,Deceptive?,Honor?,Indep.?,Unity?,Ov. Culture,Ov. Religion,Non-aggression Pacts,Defensive Pacts,,Military Alliances,,Limit,Trade 1,Value,Trade 2,Value,Trade 3,Value,Trade 4,Value,Trade 5,Value,Trade 6,Value,Trade 7,Value,Trade 8,Value,Trade 9,Value,Trade 10,Value,Trade 11,Value,Trade 12,Value,Trade 13,Value,Trade 14,Value,Trade 15,Value,Raw Trade Income,Tariffs,Trade Income,NAPs,Def. Pacts,Mil. Pacts,Trades
Baitveal,Baitveal,,,,,,,,,,,,,0.00%,,0.00%,,,,None,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1.00,0.00,0,0,0,0
Brotherhood of Pikpik,Brotherhood of Pikpik,Atlas'ii,,,,,,,,March,1.00,167.61%,167.61%,106.45%,52.83%,0.00%,8.33%,,,Both,100.00%,FALSE,FALSE,FALSE,FALSE,TRUE,Den’glaic,Faigh’denic,Spinelle,,,,,6,Federation of the Winds,"29,260.00",Atlas'ii,"9,250.00",Psarades,"53,880.00",Shakisu,"19,887.50",Trinitas,"8,200.00",Kycerian Dominion,"23,862.50",,,,,,,,,,,,,,,,,,,"144,340.00",1.25,"180,425.00",1,0,0,6
Cabyarszag,Cabyarszag,Fellowship of the Crown,,,,,,,,Standard,1.00,56.56%,56.56%,42.60%,8.96%,0.00%,-5.00%,,,None,-100.00%,TRUE,FALSE,FALSE,FALSE,FALSE,Pure Wrestler,Chàisg Durzit Faith,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1.00,0.00,0,0,0,0
Candentis Jalin,Candentis Jalin,,,,,,,,,,,,,0.00%,,0.00%,,,,None,,,,,,,,,"Skullantium, Ilikiu'Foriris, Uqhuma Killa, Kingdom of Geloia, Onaokoku",Ilikiu'Foriris,,Daoquia,,9,Council of the Alonissos Isles,"13,354.69",Skullantium,"14,470.00",Lowy Combine,"15,179.06",Onaokoku,"31,492.50",Yuranisuk,"4,785.63",Carya,"9,763.00",Kingdom of Nexus,"6,405.63",,,,,,,,,,,,,,,,,"95,450.50",1.00,"95,450.50",5,1,1,7
Caravan Republic of the Wonder-Oasis,Caravan Republic of the Wonder-Oasis,Fellowship of the Crown,,,,,,,,Mercantile,1.00,37.93%,37.93%,42.60%,7.00%,0.00%,-1.67%,,,Both,100.00%,FALSE,FALSE,FALSE,FALSE,FALSE,Pure Wrestler,Chàisg Durzit Faith,,,,,,12,Fellowship of the Crown,"83,687.50",Here Be Dragons,"33,194.00",Onaokoku,"31,492.50",Aethyrrajyam,"34,250.00",Gno’hdail Impireachd,"4,728.13",Free City of Fray Ventos,"15,929.13",Free City of Hered,"4,233.44",Uqhuma Killa,"21,740.63",Federation of the Winds,"29,260.00",,,,,,,,,,,,,"258,515.31",0.75,"193,886.48",0,0,0,9
Carya,Carya,Onaokoku,,,,,,,,Mercantile,1.00,0.00%,-1.79%,16.17%,9.55%,-25.00%,10.00%,,,Both,130.00%,FALSE,FALSE,FALSE,FALSE,TRUE,Shiawase,Saku-na-Hana,,,,,,8,Onaokoku,"31,492.50",Candentis Jalin,"10,175.00",Daoquia,"11,106.25",Aethyrrajyam,"34,250.00",Kiith Gaalsien,"5,235.94",Yuranisuk,"4,785.63",Gno’hdail Impireachd,"4,728.13",Lowy Combine,"15,179.06",,,,,,,,,,,,,,,"116,952.50",1.00,"116,952.50",0,0,0,8
Clan Karatillion,Clan Karatillion,Fellowship of the Crown,,,,,,,,Standard,1.00,51.77%,51.77%,42.60%,4.17%,0.00%,2.50%,,,None,125.00%,FALSE,FALSE,TRUE,FALSE,TRUE,Pure Wrestler,Chàisg Durzit Faith,,,Cabyarszag,Nixond,Fellowship of the Crown,9,Fellowship of the Crown,"83,687.50",Nixond,"13,365.63",Aethyllion Pradesh,"9,075.63",Federation of the Winds,"29,260.00",Restored Arisii Confederation,"5,410.63",Onaokoku,"31,492.50",Free City of Fray Ventos,"15,929.13",Ironskin Kingdom,"10,175.00",Alramia,"8,003.13",,,,,,,,,,,,,"206,399.13",0.95,"196,079.17",0,1,2,9
Clan Làidirsgith,Clan Làidirsgith,,,,,,,,,,,,,0.00%,,0.00%,,,,None,,,,,,,,,"Darzi Dynasty, Jörðnar, Ironskin Kingdom, Aethyrrajyam, Psarades, Gran Prismatia, Karak Drung, Karak Gazan, Lundrium, Gno’hdail Impireachd, Uqhuma Killa, Irs-Geshud, Kingdom of Geloía, Here be Dragons",Ironskin Kingdom,Uqhuma Killa,Kingdom of Geloía,Jörðnar,11,WrestleMania,"1,000.00",Clan Karatillion,"5,590.00",Jörðnar,"1,000.00",Karak Drung,"6,297.50",Aethyllion Pradesh,"9,075.63",Lundrium,"2,380.63",Order of Rock and Stone,"2,031.25",Kingdom of Geloía,"16,373.44",Ironskin Kingdom,"10,175.00",Alramia,"8,003.13",Caravan Republic of the Wonder-Oasis,"54,285.00",Darzi Loyalists,,Gno’hdail Impireachd,,,,,,"116,211.56",0.75,"87,158.67",14,2,2,11
Clan Lepus,Clan Lepus,Fellowship of the Crown,,,,,,,,Standard,1.00,56.02%,56.02%,42.60%,0.92%,0.00%,2.50%,,,None,100.00%,FALSE,FALSE,FALSE,FALSE,TRUE,Pure Wrestler,Chàisg Durzit Faith,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1.00,0.00,0,0,0,0
Council of Otvori,Council of Otvori,Atlas'ii,,,,,,,,,1.00,122.83%,122.83%,106.45%,6.38%,0.00%,-5.00%,,,None,75.00%,FALSE,TRUE,FALSE,FALSE,FALSE,Den’glaic,Faigh’denic,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1.00,0.00,0,0,0,0
Council of the Alonissos Isles,Council of the Alonissos Isles,,"335,756.41","844,169.48",39.77%,"121,469.22","186,988.31",64.96%,20.95%,,,,,0.00%,,0.00%,,,,None,,,,,,,,,"Lowy Combine, Daoquia, Gno’hdáil Confederation, Ilikiu'Foriris, FOW,",Gno’hdail Impireachd,Aethyrrajyam,,Lowy Combine,12,Lowy Combine,"15,179.06",Kiith Gaalsien,"5,235.94",Federation of the Winds,"29,260.00",Onaokoku,"31,492.50",Candentis Jalin,"10,175.00",Gno’hdail Impireachd,"4,728.13",Daoquia,"11,106.25",Nixond,"13,365.63",Aethyrrajyam,"34,250.00",Uqhuma Killa,"21,740.63",Free City of Fray Ventos,"15,929.13",Kingdom of Nexus,"6,405.63",,,,,,,"198,867.88",0.95,"188,924.48",6,2,1,12
Daemonic Inquisition,Daemonic Inquisition,Fellowship of the Crown,,,,,,,,Standard,1.00,39.32%,39.32%,42.60%,4.22%,-25.00%,7.50%,,,None,100.00%,FALSE,FALSE,FALSE,FALSE,FALSE,Pure Wrestler,Chàisg Durzit Faith,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.75,0.00,0,0,0,0
Daoquia,Daoquia,,,,,,,,,,,,,0.00%,,0.00%,,,,None,,,,,,,,,"Alonissos Isles, IIlikiu'Foriris, Uqhuma Killa, Onaokoku",Skullantium,Ilikiu'Foriris,,Candentis Jalin,10,Council of the Alonissos Isles,"13,354.69",Kingdom of Nexus,"6,405.63",Skullantium,"14,470.00",Carya,"9,763.00",,,,,,,,,,,,,,,,,,,,,,,"43,993.31",0.95,"41,793.65",4,2,1,4
Darzi Loyalists,Darzi Loyalists,Fellowship of the Crown,,,,,,,,March,1.00,63.40%,63.40%,42.60%,5.80%,0.00%,5.00%,,,None,100.00%,FALSE,FALSE,FALSE,FALSE,FALSE,Pure Wrestler,Chàisg Durzit Faith,"Jörðnar, Geloia, Here Be Dragons",,,,,9,Karak Drung,"6,297.50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,297.50",0.95,"5,982.63",3,0,0,1
Denirar,Denirar,Fellowship of the Crown,,,,,,,,Standard,1.00,73.42%,73.42%,42.60%,0.82%,0.00%,20.00%,,,None,100.00%,FALSE,FALSE,FALSE,FALSE,FALSE,Pure Wrestler,Chàisg Durzit Faith,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.95,0.00,0,0,0,0
Emirate of Zira,Emirate of Zira,,,,,,,,,,,,,0.00%,,0.00%,,,,None,,,,,,,,,,,,Here Be Dragons,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1.00,0.00,0,0,1,0
Extremely Radical Corta,Extremely Radical Corta,,"192,792.81","1,372,369.02",14.05%,"101,763.75","478,603.13",21.26%,7.06%,,,,,0.00%,,0.00%,,,,None,,,,,,,,,"Clan ladisafaifoedf, Uqhuma Killa",,Here Be Dragons,Kingdom of Geloía,Mātrentwo,9,Here Be Dragons,"33,194.00",Mātrentwo,"8,639.06",Gerak,"4,379.38",The Wild Fields,"3,595.63",Kingdom of Geloía,"16,373.44",Aethyrrajyam,"34,250.00",Uqhuma Killa,"21,740.63",Gol,"7,572.50",Psarades,"53,880.00",,,,,,,,,,,,,"183,624.63",0.95,"174,443.39",2,1,2,9
Federation of the Winds,Federation of the Winds,,,,,,,,,,,,,0.00%,,0.00%,,,,None,,,,,,,,,"Skullantium, Alonissos Isles, Daoquia, Onaokoku, Ilikiu'Foriris, Candentis Jalin, Kingdom of Geloía",,,Ilikiu'Foriris,Skullantium,11,Skullantium,"14,470.00",Council of the Alonissos Isles,"13,354.69",Aethyrrajyam,"34,250.00",Uqhuma Killa,"21,740.63",Caravan Republic of the Wonder-Oasis,"54,285.00",Onaokoku,"31,492.50",Here Be Dragons,"33,194.00",Clan Karatillion,"5,590.00",Wandon Council,"22,797.50",Psarades,"53,880.00",Fellowship of the Crown,"83,687.50",,,,,,,,,"368,741.81",0.95,"350,304.72",7,0,2,11
Followers of the Chosen,Followers of the Chosen,,"54,404.13","202,075.31",26.92%,"35,468.13","115,613.44",30.68%,11.52%,,,,,0.00%,,0.00%,,,,None,,,,,,,,,,Gran Prismatia,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.75,0.00,0,1,0,0
Four Leagues of Trinity,Four Leagues of Trinity,Restored Arisii Confederation,,,,,,,,Autonomous,0.25,26.95%,26.95%,39.73%,39.73%,0.00%,-5.00%,,,Both,100.00%,FALSE,FALSE,FALSE,FALSE,FALSE,Arisii,Arisii Faith,,,,,,6,Restored Arisii Confederation,"5,410.63",Free City of Fray Ventos,"15,929.13",,,,,,,,,,,,,,,,,,,,,,,,,,,"21,339.75",1.00,"21,339.75",0,0,0,2
Free City of Fray Ventos,Free City of Fray Ventos,,"60,843.75","497,380.00",12.23%,"6,762.25","128,876.69",5.25%,3.50%,,,,,0.00%,,0.00%,,,,None,,,,,,,,,"Nixond, Arissii, Balresk, Annakpolis",Nixond,Restored Arisii Confederation,Gno’hdail Impireachd,,8,Nixond,"13,365.63",Onaokoku,"31,492.50",Caravan Republic of the Wonder-Oasis,"54,285.00",Free City of Hered,"4,233.44",Republyk Balresk,"13,456.63",Council of the Alonissos Isles,"13,354.69",Carya,"9,763.00",The Charter Territory of Riveria,"7,710.00",,,,,,,,,,,,,,,"147,660.88",1.25,"184,576.09",4,2,1,8
Free City of Hered,Free City of Hered,,,,,,,,,,,,,0.00%,,0.00%,,,,None,,,,,,,,,,,Free City of Fray Ventos,,,10,Free City of Fray Ventos,"15,929.13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15,929.13",1.00,"15,929.13",0,1,0,1
Gerak,Gerak,Here Be Dragons,,,,,,,,Standard,1.00,0.00%,-17.33%,5.49%,4.68%,0.00%,-5.00%,,,Both,125.00%,FALSE,FALSE,TRUE,FALSE,FALSE,Sárkányos,Draconism,,,,,,9,Here Be Dragons,"33,194.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"33,194.00",0.95,"31,534.30",0,0,0,1
Gno’hdail Impireachd,Gno’hdail Impireachd,,"22,381.25","704,621.33",3.18%,"16,723.44","182,795.94",9.15%,2.47%,,,,,0.00%,,0.00%,,,,None,,,,,,,,,"Alonissos Isles, Aethyrrajyam, Clan Làidirsgith, Lowy Combine, WrestleMania, Onaokoku",Council of the Alonissos Isles,Lowy Combine,Free City of Fray Ventos,Nixond,8,Council of the Alonissos Isles,"13,354.69",Nixond,"13,365.63",Kiith Gaalsien,"5,235.94",Caravan Republic of the Wonder-Oasis,"54,285.00",Annakpolis,"4,093.75",,,,,,,,,,,,,,,,,,,,,"90,335.00",1.00,"90,335.00",6,2,2,5
Gol,Gol,Extremely Radical Corta,,,,,,,,March,1.00,13.19%,13.19%,7.06%,4.46%,0.00%,1.67%,,,Both,125.00%,FALSE,FALSE,TRUE,FALSE,FALSE,Litovoi,Litov Faith,,,,,,6,Extremely Radical Corta,"6,635.94",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,635.94",1.00,"6,635.94",0,0,0,1
Gramantinia,Gramantinia,,,,,,,,,,,,,0.00%,,0.00%,,,,None,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1.25,0.00,0,0,0,0
Gran Prismatia,Gran Prismatia,Kingdom of Geloía,,,,,,,,Standard,1.00,76.40%,76.40%,77.82%,33.58%,-25.00%,-5.00%,,,Both,-100.00%,TRUE,FALSE,FALSE,FALSE,TRUE,Geloíos,Dark Carnival,,,,,,7,Uqhuma Killa,"21,740.63",Kingdom of Geloía,"16,373.44",Vyraisos,"5,197.97",,,,,,,,,,,,,,,,,,,,,,,,,"43,312.03",1.25,"54,140.04",0,0,0,3
Grand Tetalay,Grand Tetalay,Netsanet Republic,,,,,,,,Standard,1.00,41.56%,41.56%,20.93%,5.64%,0.00%,-5.00%,,,Cultural,100.00%,FALSE,FALSE,FALSE,FALSE,FALSE,Andeneti,Ascensionism,,,,Ishmalkan Confederated Cities,Netsanet Republic,8,Netsanet Republic,"32,180.00",Ishmalkan Confederated Cities,"6,237.50",Ulanasa Republic,"3,070.31",Kashin Aquanorix,"4,517.50",Kycerian Dominion,"23,862.50",HlérHeim,"3,050.00",Ko'ch Q'ash,"8,425.00",,,,,,,,,,,,,,,,,"81,342.81",0.75,"61,007.11",0,0,2,7
Greater Stahlland,Greater Stahlland,,,,,,,,,,,,,0.00%,,0.00%,,,,None,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1.00,0.00,0,0,0,0
Here Be Dragons,Here Be Dragons,,"160,417.49","1,316,140.73",12.19%,"34,570.94","226,443.25",15.27%,5.49%,,,,,0.00%,,0.00%,,,,None,,,,,,,,,"Clan Làidirsgith, Extremely Radical Corta",Extremely Radical Corta,,Emirate of Zira,Mātrentwo,12,Gerak,"4,379.38",Extremely Radical Corta,"6,635.94",Mātrentwo,"8,639.06",Psarades,"53,880.00",Kingdom of Geloía,"16,373.44",Fellowship of the Crown,"83,687.50",Ironskin Kingdom,"10,175.00",Caravan Republic of the Wonder-Oasis,"54,285.00",Terra Magicae,"3,953.13",Uqhuma Killa,"21,740.63",Aethyrrajyam,"34,250.00",Federation of the Winds,"29,260.00",,,,,,,"327,259.06",0.95,"310,896.11",2,1,2,12
Iarthar Grove,Iarthar Grove,,,,,,,,,,,,,0.00%,,0.00%,,,,None,,,,,,,,,,,,Eastern Grove,ADMIN NATION,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1.00,0.00,0,0,2,0
Ilikiu'Foriris,Ilikiu'Foriris,,,,,,,,,,,,,0.00%,,0.00%,,,,None,,,,,,,,,"Skullantium, Alonissos Isles, Daoquia, Skullantium, Southern Winds",Candentis Jalin,Daoquia,Federation of the Winds,Skullantium,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1.00,0.00,5,2,2,0
Ilioratica,Ilioratica,,,,,,,,,,,,,0.00%,,0.00%,,,,None,,,,,,,,,,Psarades,Skullantium,,,7,Skullantium,"14,470.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14,470.00",0.95,"13,746.50",0,2,0,1
Ironskin Kingdom,Ironskin Kingdom,,,,,,,,,,,,,0.00%,,0.00%,,,,None,,,,,,,,,Mātrentwo,,Clan Làidirsgith,,Vzaria,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1.00,0.00,1,1,1,0
Ishmalkan Confederated Cities,Ishmalkan Confederated Cities,Netsanet Republic,,,,,,,,Standard,1.00,24.39%,24.39%,20.93%,8.47%,0.00%,-5.00%,,,None,-100.00%,TRUE,FALSE,TRUE,FALSE,FALSE,Andeneti,Ascensionism,,,,,,6,Netsanet Republic,"32,180.00",Grand Tetalay,"5,125.00",Ulanasa Republic,"3,070.31",,,,,,,,,,,,,,,,,,,,,,,,,"40,375.31",1.25,"50,469.14",0,0,0,3
Jörðnar,Jörðnar,,,,,,,,,,,,,0.00%,,0.00%,,,,None,,,,,,,,,"Clan Làidirsgith, Irs-Geshud, Uqhuma Killa",Mātrentwo,Vzaria,Clan Làidirsgith,WrestleMania,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1.05,0.00,3,2,2,0
Karak Drung,Karak Drung,Fellowship of the Crown,,,,,,,,Standard,1.00,18.73%,18.73%,42.60%,3.63%,-25.00%,0.00%,,,None,125.00%,FALSE,FALSE,TRUE,FALSE,TRUE,Pure Wrestler,Chàisg Durzit Faith,,,,,,10,Lundrium,"2,380.63",Order of Rock and Stone,"2,031.25",Denirar,"2,915.00",Darzi Loyalists,"14,556.25",Clan Karatillion,"5,590.00",,,,,,,,,,,,,,,,,,,,,"27,473.13",0.95,"26,099.47",0,0,0,5
Karak Gazan,Karak Gazan,Fellowship of the Crown,,,,,,,,Standard,1.00,58.77%,58.77%,42.60%,1.17%,0.00%,10.00%,,,None,125.00%,FALSE,FALSE,TRUE,FALSE,TRUE,Pure Wrestler,Chàisg Durzit Faith,,,,,,8,Clan Làidirsgith,"1,100.00",Lundrium,"2,380.63",Order of Rock and Stone,"2,031.25",Karak Drung,"6,297.50",,,,,,,,,,,,,,,,,,,,,,,"11,809.38",0.95,"11,218.91",0,0,0,4
Kashin Aquanorix,Kashin Aquanorix,Shakisu,,,,,,,,Standard,1.00,36.45%,36.45%,33.98%,12.48%,0.00%,0.00%,,,Both,125.00%,FALSE,FALSE,TRUE,FALSE,TRUE,Sogu,Sha-Tachi,,,,,,10,Netsanet Republic,"32,180.00",Brotherhood of Pikpik,"11,304.69",Kashin Olderia,"5,127.50",Kashin Corba,"9,152.50",Shakisu,"19,887.50",Kycerian Dominion,"23,862.50",,,,,,,,,,,,,,,,,,,"101,514.69",0.75,"76,136.02",0,0,0,6
Kashin Corba,Kashin Corba,Shakisu,,,,,,,,Mercantile,1.00,37.63%,37.63%,33.98%,13.65%,0.00%,0.00%,,,Both,100.00%,FALSE,FALSE,FALSE,FALSE,TRUE,Sogu,Sha-Tachi,,,,,,9,Shakisu,"19,887.50",Kashin Aquanorix,"4,517.50",Kashin Olderia,"5,127.50",,,,,,,,,,,,,,,,,,,,,,,,,"29,532.50",0.95,"28,055.88",0,0,0,3
Kashin Olderia,Kashin Olderia,Shakisu,,,,,,,,Standard,1.00,31.83%,31.83%,33.98%,7.85%,0.00%,0.00%,,,Both,125.00%,FALSE,FALSE,TRUE,FALSE,TRUE,Sogu,Sha-Tachi,,,,,,8,Shakisu,"19,887.50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"19,887.50",0.95,"18,893.13",0,0,0,1
Katu-Lachei Aztarnak,Katu-Lachei Aztarnak,Terra Magicae,,,,,,,,March,1.00,86.92%,86.92%,65.99%,25.93%,0.00%,-5.00%,,,None,100.00%,FALSE,FALSE,FALSE,FALSE,FALSE,Domiczean,Bederatzuan,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.75,0.00,0,0,0,0
Kawranti,Kawranti,Uqhuma Killa,,,,,,,,March,1.00,39.48%,39.48%,29.10%,10.38%,-25.00%,15.00%,,,None,100.00%,FALSE,FALSE,FALSE,FALSE,TRUE,Killauaska,Killawki,,,,,,6,Uqhuma Killa,"21,740.63",Q'awachu,"11,656.25",Wandon Council,"22,797.50",Aethyllion Pradesh,"9,075.63",,,,,,,,,,,,,,,,,,,,,,,"65,270.00",1.25,"81,587.50",0,0,0,4
Kiith Gaalsien,Kiith Gaalsien,Council of the Alonissos Isles,,,,,,,,March,1.00,1.89%,1.89%,20.95%,20.95%,-25.00%,-5.00%,,,Both,100.00%,FALSE,FALSE,FALSE,FALSE,FALSE,Marsingni,Maraskanade,,,,,,10,Council of the Alonissos Isles,"13,354.69",Nixond,"13,365.63",Lowy Combine,"15,179.06",,,Yuranisuk,"4,785.63",Carya,"9,763.00",,,,,,,,,,,,,,,,,,,"56,448.00",0.95,"53,625.60",0,0,0,5
Kingdom of Geloía,Kingdom of Geloía,,"1,398,401.18","811,486.03",172.33%,"611,139.38","281,916.25",216.78%,77.82%,,,,,0.00%,,0.00%,,,,None,,,,,,,,,"Alonissos, Daoquia, Ilikiou, Skullantium, FOW, Cadentis ",,Atlas'ii,Uqhuma Killa,Extremely Radical Corta,9,Extremely Radical Corta,"6,635.94",Uqhuma Killa,"21,740.63",Gran Prismatia,"15,643.75",Vyraisos,"5,197.97",Here Be Dragons,"33,194.00",Fellowship of the Crown,"83,687.50",Onaokoku,"31,492.50",,,,,,,,,,,,,,,,,"197,592.28",1.00,"197,592.28",6,1,2,7
Kingdom of Nexus,Kingdom of Nexus,Lowy Combine,,,,,,,,Mercantile,1.00,17.46%,17.46%,13.31%,13.31%,0.00%,8.33%,,,Both,100.00%,FALSE,FALSE,FALSE,FALSE,FALSE,Lowy,Furtherance,Onaokoku,,,,,4,Council of the Alonissos Isles,"13,354.69",Lowy Combine,"15,179.06",Daoquia,"11,106.25",Candentis Jalin,"10,175.00",,,,,,,,,,,,,,,,,,,,,,,"49,815.00",1.25,"62,268.75",1,0,0,4
Ko'ch Q'ash,Ko'ch Q'ash,,,,,,,,,,,,,0.00%,,0.00%,,,,None,,,,,,,,,,Azharid Caliphate,,Magia Gilda,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1.00,0.00,0,1,1,0
Korograt State,Korograt State,,,,,,,,,,,,,0.00%,,0.00%,,,,None,,,,,,,,,,,,,,3,Grand Tetalay,"5,125.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,125.00",1.00,"5,125.00",0,0,0,1
